1	1	گفت	گو	-	-	-	
1	1	زد	زن	-	-	-	
1	0	رفت	رو	-	-	-	
1	1	آمرزید	آمرز	-	-	-	
1	1	آلود	آلا	-	-	-	
1	1	آراست	آرا	-	-	-	
1	1	آزرد	آزار	-	-	-	
1	0	پرید	پر	-	-	-	
1	1	خورد	خور	-	-	-	
1	1	زدود	زدا	-	-	-	
1	0	آمد	آ	-	-	-	
1	1	خواست	خواه	-	-	-	
1	1	چید	چین	-	-	-	
1	0	پژمرد	پژمر	-	-	-	
1	1	پاشاند	پاشان	-	-	-	
1	1	پاشید	پاش	-	-	-	
1	1	پالود	پالا	-	-	-	
1	1	پایید	پا	-	-	-	
1	1	پخت	پز	-	-	-	
1	1	پذیراند	پذیران	-	-	-	
1	1	پذیرفت	پذیر	-	-	-	
1	1	پراکند	پراکن	-	-	-	
1	1	پراند	پران	-	-	-	
1	1	پرداخت	پرداز	-	-	-	
1	1	پرستید	پرست	-	-	-	
1	1	پرسید	پرس	-	-	-	
1	1	پروراند	پروران	-	-	-	
1	1	پرورد	پرور	-	-	-	
1	0	پرید	پر	-	-	-	
1	1	پسندید	پسند	-	-	-	
1	1	پلکید	پلک	-	-	-	
1	1	پنداشت	پندار	-	-	-	
1	0	پوسید	پوس	-	-	-	
1	1	پوشاند	پوشان	-	-	-	
1	1	پوشید	پوش	-	-	-	
1	1	پویید	پوی	-	-	-	
1	1	پیچاند	پیچان	-	-	-	
1	1	پیچانید	پیچان	-	-	-	
1	1	پیچید	پیچ	-	-	-	
1	1	پیراست	پیرا	-	-	-	
1	1	پیمود	پیما	-	-	-	
1	1	پیوست	پیوند	-	-	-	
1	1	چپاند	چپان	-	-	-	
1	1	چکاند	چکان	-	-	-	
1	0	چکید	چک	-	-	-	
1	1	چراند	چران	-	-	-	
1	1	چربید	چرب	-	-	-	
1	1	چرخاند	چرخان	-	-	-	
1	1	چرخید	چرخ	-	-	-	
1	0	چرید	چر	-	-	-	
1	1	چسباند	چسبان	-	-	-	
1	1	چسبید	چسب	-	-	-	
1	1	چشاند	چشان	-	-	-	
1	1	چشید	چش	-	-	-	
